2023-06-16:07:38:19:700,[3415346D9C0000000001C534],
2023-06-15:10:43:01:880,[3415346D9C0000000001C534],
2023-06-15:10:43:01:896,[3415346D9C0000000001DDE0],
2023-06-15:10:43:18:524,[3415346D9C0000000001DDE4],
2023-06-15:10:43:18:525,[3415346D6C0000000007A220],
2023-06-15:10:43:18:609,[3415346D9C0000000001C534],
2023-06-15:10:43:18:610,[3415346D9C0000000001DDE0],
2023-06-15:10:43:28:558,[3415346D9C0000000001DDE4],
2023-06-15:10:43:28:558,[3415346D6C0000000007A220],
2023-06-15:10:43:28:636,[3415346D9C0000000001C534],
2023-06-15:10:43:28:636,[3415346D9C0000000001DDE0],
2023-06-15:10:45:07:809,[3415346D9C000000000221F6],
2023-06-15:10:45:23:841,[3415346D9C000000000221F6],
2023-06-15:10:46:04:455,[3415346D9C000000000221F6],
2023-06-15:10:48:44:100,[3415346D9C0000000001F00A],
2023-06-15:10:48:44:193,[3415346D9C0000000001F00B],
2023-06-15:10:53:42:066,[3415346D9C0000000001DDE7],
2023-06-15:10:55:11:184,[3415346D9C0000000001CFD9],
2023-06-15:10:55:11:184,[3415346D9C0000000001DDDC],
2023-06-15:10:55:11:184,[3415346D9C000000000ABFA5],
2023-06-15:10:55:11:247,[3415346D9C0000000001CDE0],
2023-06-15:10:56:03:573,[3415346D9C0000000001CFD9],
2023-06-15:10:56:03:574,[3415346D9C0000000001DDDC],
2023-06-15:10:56:03:574,[3415346D9C000000000ABFA5],
2023-06-15:10:56:03:663,[3415346D9C0000000001CDE0],
2023-06-15:10:57:39:705,[3415346D9C0000000009397C],
2023-06-15:10:57:39:706,[3415346D9C0000000009397D],
2023-06-15:10:57:39:707,[3415346D9C0000000009397E],
2023-06-15:10:57:39:707,[3415346D9C0000000009397B],
2023-06-15:10:57:39:707,[3415346D9C00000000093979],
2023-06-15:10:57:39:708,[3415346D9C0000000009397A],
2023-06-15:10:57:39:708,[3415346D9C00000000093978],
2023-06-15:10:57:39:709,[3415346D9C00000000093977],
2023-06-15:10:57:39:710,[3415346D9C00000000093976],
2023-06-15:10:57:39:710,[3415346D9C00000000093975],
2023-06-15:10:57:39:711,[3415346D9C00000000093974],
2023-06-15:10:57:39:712,[3415346D9C00000000093973],
2023-06-15:10:57:39:712,[3415346D9C00000000093972],
2023-06-15:10:57:39:712,[3415346D9C00000000093970],
2023-06-15:10:57:39:713,[3415346D9C00000000093971],
2023-06-15:11:08:20:960,[3415346D9C000000000ABBE5],
2023-06-15:11:08:20:962,[3415346D9C0000000001E113],
2023-06-15:11:08:20:963,[3415346D9C0000000001D63F],
2023-06-15:11:08:20:963,[3415346D9C000000000ABBE3],
2023-06-15:11:08:28:685,[3415346D9C000000000ABBE5],
2023-06-15:11:08:28:687,[3415346D9C0000000001E113],
2023-06-15:11:08:28:687,[3415346D9C0000000001D63F],
2023-06-15:11:08:28:689,[3415346D9C000000000ABBE3],
2023-06-15:11:08:32:056,[3415346D9C000000000ABBE5],
2023-06-15:11:08:32:058,[3415346D9C0000000001E113],
2023-06-15:11:08:32:058,[3415346D9C0000000001D63F],
2023-06-15:11:08:32:059,[3415346D9C000000000ABBE3],
2023-06-15:11:10:04:615,[3415346D9C0000000001DDF3],
2023-06-15:11:10:04:799,[3415346D9C0000000001DE30],
2023-06-15:11:10:04:800,[3415346D9C00000000022084],
2023-06-15:11:10:04:801,[3415346D9C0000000001D832],
2023-06-15:11:10:04:801,[3415346D9C0000000002209D],
2023-06-15:11:10:04:802,[3415346D9C0000000001D1F3],
2023-06-15:11:10:04:802,[3415346D9C0000000001DD0D],
2023-06-15:11:10:29:605,[3415346D9C0000000001DDF3],
2023-06-15:11:10:29:699,[3415346D9C0000000001DE30],
2023-06-15:11:10:29:700,[3415346D9C00000000022084],
2023-06-15:11:10:29:700,[3415346D9C0000000001D832],
2023-06-15:11:10:29:701,[3415346D9C0000000002209D],
2023-06-15:11:10:29:701,[3415346D9C0000000001D1F3],
2023-06-15:11:10:29:701,[3415346D9C0000000001DD0D],
2023-06-15:11:19:28:999,[3415346D9C00000000022B87],
2023-06-15:11:19:29:000,[3415346D9C00000000022DA8],
2023-06-15:11:19:29:001,[3415346D9C00000000022DC5],
2023-06-15:11:19:29:093,[3415346D9C00000000022DB0],
2023-06-15:11:19:29:094,[3415346D9C00000000022DCD],
2023-06-15:11:19:29:094,[3415346D9C00000000022DA9],
2023-06-15:11:21:04:066,[3415346D9C0000000001DDF3],
2023-06-15:11:21:04:154,[3415346D9C0000000001DE30],
2023-06-15:11:21:04:155,[3415346D9C00000000022084],
2023-06-15:11:21:04:155,[3415346D9C0000000001D832],
2023-06-15:11:21:04:156,[3415346D9C0000000002209D],
2023-06-15:11:21:04:156,[3415346D9C0000000001D1F3],
2023-06-15:11:21:04:157,[3415346D9C0000000001DD0D],
2023-06-15:11:22:21:525,[3415346D9C0000000001DF96],
2023-06-15:11:22:21:526,[3415346D9C00000000022B77],
2023-06-15:11:22:21:527,[3415346D9C00000000022B78],
2023-06-15:11:22:21:527,[3415346D9C00000000022B79],
2023-06-15:11:22:21:528,[3415346D9C00000000022B87],
2023-06-15:11:22:21:528,[3415346D9C00000000022DA8],
2023-06-15:11:22:21:529,[3415346D9C00000000022DA9],
2023-06-15:11:22:21:530,[3415346D9C00000000022DB2],
2023-06-15:11:22:21:530,[3415346D9C00000000022DC5],
2023-06-15:11:22:21:531,[3415346D9C00000000022DC9],
2023-06-15:11:22:21:531,[3415346D9C00000000022DD0],
2023-06-15:11:22:21:532,[3415346D9C00000000022E92],
2023-06-15:11:22:21:570,[3415346D9C0000000001DF96],
2023-06-15:11:22:21:571,[3415346D9C00000000022B77],
2023-06-15:11:22:21:572,[3415346D9C00000000022B78],
2023-06-15:11:22:21:573,[3415346D9C00000000022B79],
2023-06-15:11:22:21:575,[3415346D9C00000000022B87],
2023-06-15:11:22:21:576,[3415346D9C00000000022DA8],
2023-06-15:11:22:21:578,[3415346D9C00000000022DA9],
2023-06-15:11:22:21:579,[3415346D9C00000000022DB2],
2023-06-15:11:22:21:579,[3415346D9C00000000022DC5],
2023-06-15:11:22:21:580,[3415346D9C00000000022DC9],
2023-06-15:11:22:21:580,[3415346D9C00000000022DD0],
2023-06-15:11:22:21:581,[3415346D9C00000000022E92],
2023-06-15:11:22:21:613,[3415346D9C00000000022B85],
2023-06-15:11:22:21:672,[3415346D9C00000000022B85],
2023-06-15:11:22:30:842,[3415346D9C0000000001DF96],
2023-06-15:11:22:30:843,[3415346D9C00000000022B77],
2023-06-15:11:22:30:844,[3415346D9C00000000022B78],
2023-06-15:11:22:30:845,[3415346D9C00000000022B79],
2023-06-15:11:22:30:845,[3415346D9C00000000022B87],
2023-06-15:11:22:30:846,[3415346D9C00000000022DA8],
2023-06-15:11:22:30:846,[3415346D9C00000000022DA9],
2023-06-15:11:22:30:847,[3415346D9C00000000022DB2],
2023-06-15:11:22:30:848,[3415346D9C00000000022DC5],
2023-06-15:11:22:30:849,[3415346D9C00000000022DC9],
2023-06-15:11:22:30:850,[3415346D9C00000000022DD0],
2023-06-15:11:22:30:850,[3415346D9C00000000022E92],
2023-06-15:11:22:30:927,[3415346D9C00000000022B85],
2023-06-15:11:22:43:110,[3415346D9C0000000001DF96],
2023-06-15:11:22:43:111,[3415346D9C00000000022B77],
2023-06-15:11:22:43:111,[3415346D9C00000000022B78],
2023-06-15:11:22:43:112,[3415346D9C00000000022B79],
2023-06-15:11:22:43:112,[3415346D9C00000000022B87],
2023-06-15:11:22:43:113,[3415346D9C00000000022DA8],
2023-06-15:11:22:43:113,[3415346D9C00000000022DA9],
2023-06-15:11:22:43:114,[3415346D9C00000000022DB2],
2023-06-15:11:22:43:115,[3415346D9C00000000022DC5],
2023-06-15:11:22:43:115,[3415346D9C00000000022DC9],
2023-06-15:11:22:43:116,[3415346D9C00000000022DD0],
2023-06-15:11:22:43:117,[3415346D9C00000000022E92],
2023-06-15:11:22:43:185,[3415346D9C00000000022B85],
2023-06-15:11:38:48:110,[3415346D9C0000000001EAA9],
2023-06-15:11:38:48:235,[3415346D9C0000000001D14C],
2023-06-15:11:38:48:235,[3415346D9C0000000001DBA7],
2023-06-15:11:38:51:096,[3415346D9C0000000001EAA9],
2023-06-15:11:38:51:361,[3415346D9C0000000001D14C],
2023-06-15:11:38:51:361,[3415346D9C0000000001DBA7],
2023-06-15:11:38:53:416,[3415346D9C0000000001EAA9],
2023-06-15:11:38:53:530,[3415346D9C0000000001D14C],
2023-06-15:11:38:53:530,[3415346D9C0000000001DBA7],
2023-06-15:11:40:04:091,[3415346D9C0000000001D14C],
2023-06-15:11:40:04:092,[3415346D9C0000000001D4CC],
2023-06-15:11:40:04:207,[3415346D9C0000000001D2B1],
2023-06-15:11:40:04:208,[3415346D9C0000000001F0AB],
2023-06-15:11:40:18:491,[3415346D9C0000000001D14C],
2023-06-15:11:40:18:491,[3415346D9C0000000001D4CC],
2023-06-15:11:40:18:569,[3415346D9C0000000001D2B1],
2023-06-15:11:40:18:569,[3415346D9C0000000001F0AB],
2023-06-15:11:40:20:825,[3415346D9C0000000001D14C],
2023-06-15:11:40:20:826,[3415346D9C0000000001D4CC],
2023-06-15:11:40:20:896,[3415346D9C0000000001D2B1],
2023-06-15:11:40:20:897,[3415346D9C0000000001F0AB],
2023-06-15:11:41:23:927,[3415346D9C0000000001C543],
2023-06-15:11:41:23:928,[3415346D9C0000000001CC0E],
2023-06-15:11:41:23:929,[3415346D9C0000000001D5A2],
2023-06-15:11:41:23:929,[3415346D9C0000000001D773],
2023-06-15:11:41:23:930,[3415346D9C0000000001D830],
2023-06-15:11:41:23:931,[3415346D9C0000000001ED8D],
2023-06-15:11:41:23:931,[3415346D9C0000000001FF7C],
2023-06-15:11:41:23:933,[3415346D9C000000000AB8D8],
2023-06-15:11:41:23:933,[3415346D9C000000000ABBEA],
2023-06-15:11:41:24:011,[3415346D9C0000000001EAE3],
2023-06-15:11:41:31:899,[3415346D9C0000000001C543],
2023-06-15:11:41:31:900,[3415346D9C0000000001CC0E],
2023-06-15:11:41:31:900,[3415346D9C0000000001D5A2],
2023-06-15:11:41:31:901,[3415346D9C0000000001D773],
2023-06-15:11:41:31:901,[3415346D9C0000000001D830],
2023-06-15:11:41:31:902,[3415346D9C0000000001ED8D],
2023-06-15:11:41:31:902,[3415346D9C0000000001FF7C],
2023-06-15:11:41:31:903,[3415346D9C000000000AB8D8],
2023-06-15:11:41:31:904,[3415346D9C000000000ABBEA],
2023-06-15:11:41:31:980,[3415346D9C0000000001EAE3],
2023-06-15:11:41:42:950,[3415346D9C0000000001C543],
2023-06-15:11:41:42:950,[3415346D9C0000000001CC0E],
2023-06-15:11:41:42:950,[3415346D9C0000000001D5A2],
2023-06-15:11:41:42:950,[3415346D9C0000000001D773],
2023-06-15:11:41:42:950,[3415346D9C0000000001D830],
2023-06-15:11:41:42:950,[3415346D9C0000000001ED8D],
2023-06-15:11:41:42:950,[3415346D9C0000000001FF7C],
2023-06-15:11:41:42:950,[3415346D9C000000000AB8D8],
2023-06-15:11:41:42:950,[3415346D9C000000000ABBEA],
2023-06-15:11:41:43:034,[3415346D9C0000000001EAE3],
2023-06-15:11:41:44:491,[3415346D9C0000000001C543],
2023-06-15:11:41:44:491,[3415346D9C0000000001CC0E],
2023-06-15:11:41:44:492,[3415346D9C0000000001D5A2],
2023-06-15:11:41:44:493,[3415346D9C0000000001D773],
2023-06-15:11:41:44:493,[3415346D9C0000000001D830],
2023-06-15:11:41:44:494,[3415346D9C0000000001ED8D],
2023-06-15:11:41:44:495,[3415346D9C0000000001FF7C],
2023-06-15:11:41:44:495,[3415346D9C000000000AB8D8],
2023-06-15:11:41:44:496,[3415346D9C000000000ABBEA],
2023-06-15:11:41:44:561,[3415346D9C0000000001EAE3],
2023-06-15:11:43:31:037,[3415346D9C0000000001D7A9],
2023-06-15:11:43:31:037,[3415346D9C0000000001DF7D],
2023-06-15:11:43:31:147,[3415346D9C0000000001D0C9],
2023-06-15:11:43:31:148,[3415346D9C0000000001CB3C],
2023-06-15:11:43:31:148,[3415346D9C0000000001D831],
2023-06-15:11:43:31:148,[3415346D9C0000000001DF2C],
2023-06-15:11:43:33:773,[3415346D9C0000000001D7A9],
2023-06-15:11:43:33:788,[3415346D9C0000000001DF7D],
2023-06-15:11:43:33:867,[3415346D9C0000000001D0C9],
2023-06-15:11:43:33:867,[3415346D9C0000000001CB3C],
2023-06-15:11:43:33:867,[3415346D9C0000000001D831],
2023-06-15:11:43:33:867,[3415346D9C0000000001DF2C],
2023-06-15:11:43:36:099,[3415346D9C0000000001D7A9],
2023-06-15:11:43:36:099,[3415346D9C0000000001DF7D],
2023-06-15:11:43:36:177,[3415346D9C0000000001D0C9],
2023-06-15:11:43:36:177,[3415346D9C0000000001CB3C],
2023-06-15:11:43:36:177,[3415346D9C0000000001D831],
2023-06-15:11:43:36:177,[3415346D9C0000000001DF2C],
2023-06-15:11:44:34:157,[3415346D9C0000000001C86A],
2023-06-15:11:44:34:157,[3415346D9C0000000001E01A],
2023-06-15:11:44:34:158,[3415346D9C000000000F46BC],
2023-06-15:11:44:41:094,[3415346D9C0000000001C86A],
2023-06-15:11:44:41:095,[3415346D9C0000000001E01A],
2023-06-15:11:44:41:095,[3415346D9C000000000F46BC],
2023-06-15:11:45:45:715,[3415346D9C0000000001C2EE],
2023-06-15:11:45:45:715,[3415346D9C0000000001CFC8],
2023-06-15:11:45:45:715,[3415346D9C0000000001DB8C],
2023-06-15:11:45:45:731,[3415346D9C000000000219BB],
2023-06-15:11:45:45:793,[3415346D9C0000000001C2ED],
2023-06-15:11:45:50:050,[3415346D9C0000000001C2EE],
2023-06-15:11:45:50:051,[3415346D9C0000000001CFC8],
2023-06-15:11:45:50:051,[3415346D9C0000000001DB8C],
2023-06-15:11:45:50:052,[3415346D9C000000000219BB],
2023-06-15:11:45:50:135,[3415346D9C0000000001C2ED],
2023-06-15:12:03:00:336,[3415346D9C00000000093986],
2023-06-15:12:03:00:336,[3415346D9C00000000093988],
2023-06-15:12:03:00:336,[3415346D9C00000000093989],
2023-06-15:12:03:00:337,[3415346D9C00000000093982],
2023-06-15:12:03:00:337,[3415346D9C00000000093987],
2023-06-15:12:03:00:337,[3415346D9C00000000093984],
2023-06-15:12:03:00:337,[3415346D9C00000000093985],
2023-06-15:12:03:00:338,[3415346D9C00000000093983],
2023-06-15:12:03:00:338,[3415346D9C00000000093981],
2023-06-15:12:03:00:338,[3415346D9C00000000093980],
2023-06-15:12:03:00:339,[3415346D9C0000000007ACBD],
2023-06-15:12:03:00:339,[3415346D9C0000000007ACC2],
2023-06-15:12:03:00:339,[3415346D9C0000000009397F],
2023-06-15:12:15:58:391,[3415346D9C0000000007AD47],
2023-06-15:12:26:08:255,[3415346D9C000000000936F2],
2023-06-15:12:34:07:578,[3415346D9C0000000007ACBD],
2023-06-15:12:34:07:579,[3415346D9C0000000007ACC2],
2023-06-15:12:34:07:580,[3415346D9C0000000009397F],
2023-06-15:12:34:07:581,[3415346D9C00000000093985],
2023-06-15:12:34:07:782,[3415346D9C000000000939AC],
2023-06-15:12:34:07:782,[3415346D9C000000000939AB],
2023-06-15:12:34:07:782,[3415346D9C000000000939AD],
2023-06-15:12:34:07:783,[3415346D9C000000000939AA],
2023-06-15:12:34:18:101,[3415346D9C0000000007ACBD],
2023-06-15:12:34:18:102,[3415346D9C0000000007ACC2],
2023-06-15:12:34:18:103,[3415346D9C0000000009397F],
2023-06-15:12:34:18:103,[3415346D9C00000000093985],
2023-06-15:12:34:18:181,[3415346D9C000000000939AC],
2023-06-15:12:34:18:181,[3415346D9C000000000939AB],
2023-06-15:12:34:18:182,[3415346D9C000000000939AD],
2023-06-15:12:34:18:182,[3415346D9C000000000939AA],
2023-06-15:12:46:12:105,[3415346D9C0000000009392F],
2023-06-15:12:47:40:198,[3415346D9C0000000001D7A9],
2023-06-15:12:47:40:199,[3415346D9C0000000001DE30],
2023-06-15:12:47:40:200,[3415346D9C000000000ABBE5],
2023-06-15:12:47:40:302,[3415346D9C0000000001D0B8],
2023-06-15:12:47:40:303,[3415346D9C0000000001D5A8],
2023-06-15:12:47:40:306,[3415346D9C000000000ABBE7],
2023-06-15:12:47:40:306,[3415346D9C0000000001CDDE],
2023-06-15:12:47:40:307,[3415346D9C0000000001D834],
2023-06-15:12:47:47:809,[3415346D9C0000000001D7A9],
2023-06-15:12:47:47:809,[3415346D9C0000000001DE30],
2023-06-15:12:47:47:810,[3415346D9C000000000ABBE5],
2023-06-15:12:47:47:890,[3415346D9C0000000001D0B8],
2023-06-15:12:47:47:891,[3415346D9C0000000001D5A8],
2023-06-15:12:47:47:893,[3415346D9C000000000ABBE7],
2023-06-15:12:47:47:893,[3415346D9C0000000001CDDE],
2023-06-15:12:47:47:893,[3415346D9C0000000001D834],
2023-06-15:12:47:51:576,[3415346D9C0000000001D7A9],
2023-06-15:12:47:51:577,[3415346D9C0000000001DE30],
2023-06-15:12:47:51:577,[3415346D9C000000000ABBE5],
2023-06-15:12:47:51:659,[3415346D9C0000000001D0B8],
2023-06-15:12:47:51:659,[3415346D9C0000000001D5A8],
2023-06-15:12:47:51:661,[3415346D9C000000000ABBE7],
2023-06-15:12:47:51:662,[3415346D9C0000000001CDDE],
2023-06-15:12:47:51:662,[3415346D9C0000000001D834],
2023-06-15:12:47:53:304,[3415346D9C0000000001D7A9],
2023-06-15:12:47:53:304,[3415346D9C0000000001DE30],
2023-06-15:12:47:53:304,[3415346D9C000000000ABBE5],
2023-06-15:12:47:53:382,[3415346D9C0000000001D0B8],
2023-06-15:12:47:53:382,[3415346D9C0000000001D5A8],
2023-06-15:12:47:53:382,[3415346D9C000000000ABBE7],
2023-06-15:12:47:53:382,[3415346D9C0000000001CDDE],
2023-06-15:12:47:53:382,[3415346D9C0000000001D834],
2023-06-15:12:47:54:996,[3415346D9C0000000001D7A9],
2023-06-15:12:47:54:997,[3415346D9C0000000001DE30],
2023-06-15:12:47:54:998,[3415346D9C000000000ABBE5],
2023-06-15:12:47:55:124,[3415346D9C0000000001D0B8],
2023-06-15:12:47:55:124,[3415346D9C0000000001D5A8],
2023-06-15:12:47:55:127,[3415346D9C000000000ABBE7],
2023-06-15:12:47:55:128,[3415346D9C0000000001CDDE],
2023-06-15:12:47:55:128,[3415346D9C0000000001D834],
2023-06-15:12:48:41:058,[3415346D9C000000000ABBE5],
2023-06-15:12:48:41:198,[3415346D9C0000000001DEE7],
2023-06-15:12:48:41:198,[3415346D9C0000000001CAB2],
2023-06-15:12:48:48:175,[3415346D9C000000000ABBE5],
2023-06-15:12:48:48:256,[3415346D9C0000000001DEE7],
2023-06-15:12:48:48:257,[3415346D9C0000000001CAB2],
2023-06-15:12:48:51:812,[3415346D9C000000000ABBE5],
2023-06-15:12:48:51:877,[3415346D9C0000000001DEE7],
2023-06-15:12:48:51:878,[3415346D9C0000000001CAB2],
2023-06-15:12:48:53:532,[3415346D9C000000000ABBE5],
2023-06-15:12:48:53:594,[3415346D9C0000000001DEE7],
2023-06-15:12:48:53:594,[3415346D9C0000000001CAB2],
2023-06-15:12:48:55:197,[3415346D9C000000000ABBE5],
2023-06-15:12:48:55:291,[3415346D9C0000000001DEE7],
2023-06-15:12:48:55:291,[3415346D9C0000000001CAB2],
2023-06-15:12:49:39:882,[3415346D9C0000000001D1F3],
2023-06-15:12:49:39:883,[3415346D9C0000000001DD0D],
2023-06-15:12:49:39:883,[3415346D9C0000000002209D],
2023-06-15:12:49:39:981,[3415346D9C0000000001D0C8],
2023-06-15:12:49:42:231,[3415346D9C0000000001D1F3],
2023-06-15:12:49:42:232,[3415346D9C0000000001DD0D],
2023-06-15:12:49:42:233,[3415346D9C0000000002209D],
2023-06-15:12:49:42:311,[3415346D9C0000000001D0C8],
2023-06-15:12:50:21:160,[3415346D9C0000000001D5A9],
2023-06-15:12:50:21:161,[3415346D9C0000000001DDDF],
2023-06-15:12:50:21:229,[3415346D9C0000000001DDDB],
2023-06-15:12:50:36:419,[3415346D9C0000000001D5A9],
2023-06-15:12:50:36:419,[3415346D9C0000000001DDDF],
2023-06-15:12:50:36:494,[3415346D9C0000000001DDDB],
2023-06-15:12:50:37:993,[3415346D9C0000000001D5A9],
2023-06-15:12:50:37:993,[3415346D9C0000000001DDDF],
2023-06-15:12:50:38:072,[3415346D9C0000000001DDDB],
2023-06-15:12:50:39:475,[3415346D9C0000000001D5A9],
2023-06-15:12:50:39:476,[3415346D9C0000000001DDDF],
2023-06-15:12:50:39:555,[3415346D9C0000000001DDDB],
2023-06-15:12:57:17:053,[3415346D9C0000000001C2FB],
2023-06-15:13:01:07:182,[3415346D9C0000000001C2FB],
2023-06-15:13:01:07:183,[3415346D9C0000000001D14C],
2023-06-15:13:01:07:183,[3415346D9C0000000001D4CC],
2023-06-15:13:01:07:185,[3415346D9C0000000001DDF3],
2023-06-15:13:01:07:186,[3415346D9C0000000001EAA9],
2023-06-15:13:01:07:187,[3415346D9C0000000001F0AB],
2023-06-15:13:01:07:457,[3415346D9C000000000219B7],
2023-06-15:13:01:09:931,[3415346D9C0000000001C2FB],
2023-06-15:13:01:09:932,[3415346D9C0000000001D14C],
2023-06-15:13:01:09:934,[3415346D9C0000000001D4CC],
2023-06-15:13:01:09:936,[3415346D9C0000000001DDF3],
2023-06-15:13:01:09:937,[3415346D9C0000000001EAA9],
2023-06-15:13:01:09:940,[3415346D9C0000000001F0AB],
2023-06-15:13:01:10:072,[3415346D9C000000000219B7],
2023-06-15:13:01:11:682,[3415346D9C0000000001C2FB],
2023-06-15:13:01:11:682,[3415346D9C0000000001D14C],
2023-06-15:13:01:11:682,[3415346D9C0000000001D4CC],
2023-06-15:13:01:11:682,[3415346D9C0000000001DDF3],
2023-06-15:13:01:11:697,[3415346D9C0000000001EAA9],
2023-06-15:13:01:11:697,[3415346D9C0000000001F0AB],
2023-06-15:13:01:12:119,[3415346D9C000000000219B7],
2023-06-15:13:01:46:979,[3415346D9C00000000093931],
2023-06-15:13:01:46:980,[3415346D9C0000000009396F],
2023-06-15:13:01:46:981,[3415346D9C0000000009396E],
2023-06-15:13:01:49:373,[3415346D9C00000000093931],
2023-06-15:13:01:49:374,[3415346D9C0000000009396F],
2023-06-15:13:01:49:375,[3415346D9C0000000009396E],
2023-06-15:13:02:00:780,[3415346D9C000000000ABBEA],
2023-06-15:13:02:00:962,[3415346D9C0000000001E820],
2023-06-15:13:02:04:522,[3415346D9C000000000ABBEA],
2023-06-15:13:02:04:637,[3415346D9C0000000001E820],
2023-06-15:13:02:08:590,[3415346D9C000000000ABBEA],
2023-06-15:13:02:08:693,[3415346D9C0000000001E820],
2023-06-15:13:02:10:022,[3415346D9C000000000ABBEA],
2023-06-15:13:02:10:122,[3415346D9C0000000001E820],
2023-06-15:13:02:11:449,[3415346D9C000000000ABBEA],
2023-06-15:13:02:11:515,[3415346D9C0000000001E820],
2023-06-15:13:02:39:908,[3415346D9C0000000007ACBD],
2023-06-15:13:02:39:908,[3415346D9C0000000007ACC2],
2023-06-15:13:02:40:012,[3415346D9C000000000939A8],
2023-06-15:13:02:40:012,[3415346D9C000000000939A4],
2023-06-15:13:02:40:013,[3415346D9C000000000939A0],
2023-06-15:13:02:40:013,[3415346D9C000000000939A6],
2023-06-15:13:02:40:014,[3415346D9C000000000939A5],
2023-06-15:13:02:40:015,[3415346D9C000000000939A7],
2023-06-15:13:02:40:015,[3415346D9C000000000939A3],
2023-06-15:13:02:40:015,[3415346D9C000000000939A9],
2023-06-15:13:02:40:016,[3415346D9C000000000939A2],
2023-06-15:13:02:40:016,[3415346D9C000000000939A1],
2023-06-15:13:03:20:269,[3415346D9C0000000001CB3C],
2023-06-15:13:03:20:269,[3415346D9C0000000001CDDF],
2023-06-15:13:03:20:269,[3415346D9C0000000001D0C9],
2023-06-15:13:03:20:269,[3415346D9C0000000001D634],
2023-06-15:13:03:20:269,[3415346D9C0000000001D7A9],
2023-06-15:13:03:20:269,[3415346D9C0000000001D831],
2023-06-15:13:03:20:285,[3415346D9C0000000001DF7D],
2023-06-15:13:03:20:285,[3415346D9C0000000001E114],
2023-06-15:13:03:20:410,[3415346D9C000000000ABBE8],
2023-06-15:13:03:20:410,[3415346D9C0000000001FF4D],
2023-06-15:13:03:22:402,[3415346D9C00000000093931],
2023-06-15:13:03:24:584,[3415346D9C00000000093931],
2023-06-15:13:03:33:831,[3415346D9C0000000001CB3C],
2023-06-15:13:03:33:831,[3415346D9C0000000001CDDF],
2023-06-15:13:03:33:832,[3415346D9C0000000001D0C9],
2023-06-15:13:03:33:832,[3415346D9C0000000001D634],
2023-06-15:13:03:33:833,[3415346D9C0000000001D7A9],
2023-06-15:13:03:33:834,[3415346D9C0000000001D831],
2023-06-15:13:03:33:835,[3415346D9C0000000001DF7D],
2023-06-15:13:03:33:836,[3415346D9C0000000001E114],
2023-06-15:13:03:33:907,[3415346D9C000000000ABBE8],
2023-06-15:13:03:33:907,[3415346D9C0000000001FF4D],
2023-06-15:13:03:42:849,[3415346D9C0000000001CB3C],
2023-06-15:13:03:42:849,[3415346D9C0000000001CDDF],
2023-06-15:13:03:42:850,[3415346D9C0000000001D0C9],
2023-06-15:13:03:42:851,[3415346D9C0000000001D634],
2023-06-15:13:03:42:851,[3415346D9C0000000001D7A9],
2023-06-15:13:03:42:852,[3415346D9C0000000001D831],
2023-06-15:13:03:42:854,[3415346D9C0000000001DF7D],
2023-06-15:13:03:42:854,[3415346D9C0000000001E114],
2023-06-15:13:03:42:987,[3415346D9C000000000ABBE8],
2023-06-15:13:03:42:987,[3415346D9C0000000001FF4D],
2023-06-15:13:03:48:274,[3415346D9C0000000001CB3C],
2023-06-15:13:03:48:274,[3415346D9C0000000001CDDF],
2023-06-15:13:03:48:274,[3415346D9C0000000001D0C9],
2023-06-15:13:03:48:274,[3415346D9C0000000001D634],
2023-06-15:13:03:48:274,[3415346D9C0000000001D7A9],
2023-06-15:13:03:48:274,[3415346D9C0000000001D831],
2023-06-15:13:03:48:274,[3415346D9C0000000001DF7D],
2023-06-15:13:03:48:274,[3415346D9C0000000001E114],
2023-06-15:13:03:48:377,[3415346D9C000000000ABBE8],
2023-06-15:13:03:48:378,[3415346D9C0000000001FF4D],
2023-06-15:13:03:50:323,[3415346D9C0000000001CB3C],
2023-06-15:13:03:50:324,[3415346D9C0000000001CDDF],
2023-06-15:13:03:50:324,[3415346D9C0000000001D0C9],
2023-06-15:13:03:50:325,[3415346D9C0000000001D634],
2023-06-15:13:03:50:325,[3415346D9C0000000001D7A9],
2023-06-15:13:03:50:326,[3415346D9C0000000001D831],
2023-06-15:13:03:50:328,[3415346D9C0000000001DF7D],
2023-06-15:13:03:50:329,[3415346D9C0000000001E114],
2023-06-15:13:03:50:463,[3415346D9C000000000ABBE8],
2023-06-15:13:03:50:463,[3415346D9C0000000001FF4D],
2023-06-15:13:03:51:997,[3415346D9C0000000001CB3C],
2023-06-15:13:03:51:998,[3415346D9C0000000001CDDF],
2023-06-15:13:03:51:999,[3415346D9C0000000001D0C9],
2023-06-15:13:03:52:000,[3415346D9C0000000001D634],
2023-06-15:13:03:52:001,[3415346D9C0000000001D7A9],
2023-06-15:13:03:52:001,[3415346D9C0000000001D831],
2023-06-15:13:03:52:002,[3415346D9C0000000001DF7D],
2023-06-15:13:03:52:003,[3415346D9C0000000001E114],
2023-06-15:13:03:52:091,[3415346D9C000000000ABBE8],
2023-06-15:13:03:52:093,[3415346D9C0000000001FF4D],
2023-06-15:13:03:53:480,[3415346D9C0000000001CB3C],
2023-06-15:13:03:53:480,[3415346D9C0000000001CDDF],
2023-06-15:13:03:53:480,[3415346D9C0000000001D0C9],
2023-06-15:13:03:53:480,[3415346D9C0000000001D634],
2023-06-15:13:03:53:480,[3415346D9C0000000001D7A9],
